Mo,W,S,Se,Te,bandgap
20.0,5.0,20.0,15.0,15.0,1.3379
20.0,5.0,20.0,20.0,10.0,1.3969
20.0,5.0,20.0,25.0,5.0,1.4475
20.0,5.0,25.0,5.0,20.0,1.2733
20.0,5.0,25.0,10.0,15.0,1.3426
20.0,5.0,25.0,15.0,10.0,1.3903
20.0,5.0,25.0,20.0,5.0,1.4480
20.0,5.0,30.0,5.0,15.0,1.3684
20.0,5.0,30.0,10.0,10.0,1.3987
20.0,5.0,30.0,15.0,5.0,1.4762
20.0,5.0,35.0,5.0,10.0,1.4017
20.0,5.0,35.0,10.0,5.0,1.4999
20.0,5.0,40.0,5.0,5.0,1.5289
